Urgent,Feature ,Cost,,,Comments
,,,,,
u,Mock DDI Characterisation Data,,,,
,Identify drugs in PML,,,,
,Lookup drugs in DINTO (or Mock?),,,,
,Faster DINTO Loading ?,,,,
,Identify DDIs ,,,,
u,Report un-named PML construct ,,,,
u,Report PML construct name-clash ,,,,
,Report use of task construct ,,,,
,Identify Sequential DDIs,,,,
,Identify Parallel DDIs,,,,
,Report Alternative non-DDIs,,,,
,Report Repeated Alternative DDIs,,,,
,Specifying Periodic Drug Use ,,,,
,Specifying Sequential Drug Use Gap ,,,,
,Specifying Parallel Drug Use Gap ,,,,
,Specifying Repeated Alternative Drug Use Gap ,,,,
,Specify a Delay ,,,,
,Specify a time interval offset ,,,,
,Report Timing Inconsistencies ,,,,
,Identify DDI Closest Approach ,,,,
,Identify DDI Furthest Separation ,,,,
,Merging Clinical Pathways written in PML ,,,,
u,PML-TX Save PML to File ,,,,
,Handle Timed Self-Interactions,,,,
,Identify drug scheduling problems,,,,
,Pathway Badness Ranking,,,,
,PML-TX Gradient Descent Time Optimisation ,,,,
,PML-TX Brute Force Time Optimisation ,,,,
,,,,,
,PML-TX Rule-Based Transformation ,,,,
,,,,,
,,I,A,R,
,PML-TX Reorder Sequence,,,,
,PML-TX Serialise Branch (Naive) ,,,,
,PML-TX Serialize Branch (Two-Way) ,,,,
,PML-TX Serialize Branch (Three-Way) ,,,,
,PML-TX Serialize Branch (n-Way) ,,,,
,PML-TX Remove Selections ,,,,
,PML-TX Unroll Iteration ,,,,
,PML-TX Parallelise Sequence ,,,,
